urim	urim_datetime	tweet_datetime	tweet_delta	tweet_delta_insec	bio_datetime	bio_delta	bio_delta_insec	media_datetime	media_delta	media_delta_insec	ymlike_datetime	ymlike_delta	ymlike_delta_insec	whappen_datetime	whappen_delta	whappen_delta_insec
https://web.archive.org/web/20200921193637/https://twitter.com/realDonaldTrump?lang=pl	20200921193637	20200919204148	-2 days, 1:05:11	-168889	20200919204148	-2 days, 1:05:11	-168889	20200919204148	-2 days, 1:05:11	-168889	20200919204148	-2 days, 1:05:11	-168889	20200919204148	-2 days, 1:05:11	-168889
https://web.archive.org/web/20200504015450/https://twitter.com/realDonaldTrump?lang=ar	20200504015450	20200502043820	-2 days, 2:43:30	-162990	20200502043820	-2 days, 2:43:30	-162990	20200502043820	-2 days, 2:43:30	-162990	20200502043821	-2 days, 2:43:31	-162989	20200502043822	-2 days, 2:43:32	-162988
https://web.archive.org/web/20200504014947/https://twitter.com/realDonaldTrump?lang=fa	20200504014947	20200502043820	-2 days, 2:48:33	-162687	20200502043820	-2 days, 2:48:33	-162687	20200502043820	-2 days, 2:48:33	-162687	20200502043821	-2 days, 2:48:34	-162686	20200502043822	-2 days, 2:48:35	-162685
https://web.archive.org/web/20200701142357/https://twitter.com/realdonaldtrump	20200701142357	20200629174731	-2 days, 3:23:34	-160586	20200629174731	-2 days, 3:23:34	-160586	20200629174732	-2 days, 3:23:35	-160585	20200629174732	-2 days, 3:23:35	-160585	20200629174732	-2 days, 3:23:35	-160585
https://web.archive.org/web/20200626010337/https://twitter.com/realdonaldtrump	20200626010337	20200624044031	-2 days, 3:36:54	-159786	20200624044031	-2 days, 3:36:54	-159786	20200624044031	-2 days, 3:36:54	-159786	20200624044032	-2 days, 3:36:55	-159785	20200624044032	-2 days, 3:36:55	-159785
https://web.archive.org/web/20200701135942/https://twitter.com/realdonaldtrump	20200701135942	20200629174731	-2 days, 3:47:49	-159131	20200629174731	-2 days, 3:47:49	-159131	20200629174732	-2 days, 3:47:50	-159130	20200629174732	-2 days, 3:47:50	-159130	20200629174732	-2 days, 3:47:50	-159130
https://web.archive.org/web/20200626004457/https://twitter.com/realDonaldTrump?lang=el	20200626004457	20200624044031	-2 days, 3:55:34	-158666	20200624044031	-2 days, 3:55:34	-158666	20200624044031	-2 days, 3:55:34	-158666	20200624044032	-2 days, 3:55:35	-158665	20200624044032	-2 days, 3:55:35	-158665
https://web.archive.org/web/20200701133551/https://twitter.com/realdonaldtrump	20200701133551	20200629174731	-2 days, 4:11:40	-157700	20200629174731	-2 days, 4:11:40	-157700	20200629174732	-2 days, 4:11:41	-157699	20200629174732	-2 days, 4:11:41	-157699	20200629174732	-2 days, 4:11:41	-157699
https://web.archive.org/web/20200701131428/https://twitter.com/realdonaldtrump	20200701131428	20200629174731	-2 days, 4:33:03	-156417	20200629174731	-2 days, 4:33:03	-156417	20200629174732	-2 days, 4:33:04	-156416	20200629174732	-2 days, 4:33:04	-156416	20200629174732	-2 days, 4:33:04	-156416
https://web.archive.org/web/20200626000556/https://twitter.com/realdonaldtrump	20200626000556	20200624044031	-2 days, 4:34:35	-156325	20200624044031	-2 days, 4:34:35	-156325	20200624044031	-2 days, 4:34:35	-156325	20200624044032	-2 days, 4:34:36	-156324	20200624044032	-2 days, 4:34:36	-156324
https://web.archive.org/web/20200701131158/https://twitter.com/realdonaldtrump	20200701131158	20200629174731	-2 days, 4:35:33	-156267	20200629174731	-2 days, 4:35:33	-156267	20200629174732	-2 days, 4:35:34	-156266	20200629174732	-2 days, 4:35:34	-156266	20200629174732	-2 days, 4:35:34	-156266
https://web.archive.org/web/20200701124614/https://twitter.com/realdonaldtrump	20200701124614	20200629174731	-2 days, 5:01:17	-154723	20200629174731	-2 days, 5:01:17	-154723	20200629174732	-2 days, 5:01:18	-154722	20200629174732	-2 days, 5:01:18	-154722	20200629174732	-2 days, 5:01:18	-154722
https://web.archive.org/web/20200701122708/https://twitter.com/realdonaldtrump	20200701122708	20200629174731	-2 days, 5:20:23	-153577	20200629174731	-2 days, 5:20:23	-153577	20200629174732	-2 days, 5:20:24	-153576	20200629174732	-2 days, 5:20:24	-153576	20200629174732	-2 days, 5:20:24	-153576
